Gustavo Petro,Federico Gutiérrez,Rodolfo Hernández,Sergio Fajardo,Enrique Gómez,John Milton Rodríguez,Blanco,Participacion,Asignaciones,Decision,Fecha,Dias,Encuestadora,Representatividad,metodologia,Peso
0.4235,0.1855,0.1358333333333333,0.1845,0.023833333333333328,0.03483333333333333,0.012,0.46915,"{'Gustavo Petro': 0.07149999999999998, 'Federico Gutiérrez': 0.07149999999999998, 'Rodolfo Hernández': 0.023833333333333328, 'Sergio Fajardo': 0.07149999999999998, 'Enrique Gómez': 0.023833333333333328, 'John Milton Rodríguez': 0.023833333333333328, 'Blanco': 0.023833333333333328}",0.9339999999999999,12/03/2022,-77.95833333333333,Atlas Intel,0.8,0.25,0.00013075142372169377
0.355375,0.213375,0.108125,0.186375,0.014124999999999999,0.024125,0.09849999999999999,0.46915,"{'Gustavo Petro': 0.042374999999999996, 'Federico Gutiérrez': 0.042374999999999996, 'Rodolfo Hernández': 0.014124999999999999, 'Sergio Fajardo': 0.042374999999999996, 'Enrique Gómez': 0.014124999999999999, 'John Milton Rodríguez': 0.014124999999999999, 'Blanco': 0.014124999999999999}",nan,15/3/2022,-75.0,Massive Caller,0.0,0.5,3.109541439646364e-05
0.37462500000000004,0.285625,0.155625,0.114875,0.02487500000000001,0.017875000000000012,0.0265,0.46915,"{'Gustavo Petro': 0.053625000000000034, 'Federico Gutiérrez': 0.053625000000000034, 'Rodolfo Hernández': 0.053625000000000034, 'Sergio Fajardo': 0.017875000000000012, 'Enrique Gómez': 0.017875000000000012, 'John Milton Rodríguez': 0.017875000000000012, 'Blanco': 0.017875000000000012}",0.873,19/03/2022,-71.0,CNC,0.561,0.5,9.616285929047324e-05
0.40675,0.22675,0.14675,0.11225,0.015250000000000003,0.012250000000000002,0.08,0.46915,"{'Gustavo Petro': 0.036750000000000005, 'Federico Gutiérrez': 0.036750000000000005, 'Rodolfo Hernández': 0.036750000000000005, 'Sergio Fajardo': 0.012250000000000002, 'Enrique Gómez': 0.012250000000000002, 'John Milton Rodríguez': 0.012250000000000002, 'Blanco': 0.012250000000000002}",0.95,21/3/2022,-69.0,Yanhaas,0.6,0.75,0.0004268589165169461
0.36850000000000005,0.2545,0.10016666666666668,0.1345,0.011166666666666667,0.021166666666666667,0.11,0.46915,"{'Gustavo Petro': 0.0335, 'Federico Gutiérrez': 0.0335, 'Rodolfo Hernández': 0.011166666666666667, 'Sergio Fajardo': 0.0335, 'Enrique Gómez': 0.011166666666666667, 'John Milton Rodríguez': 0.011166666666666667, 'Blanco': 0.011166666666666667}",nan,21/3/2022,-69.0,Massive Caller,0.0,0.5,6.118796755533016e-05
0.3485,0.3005,0.10316666666666666,0.14749999999999996,0.008166666666666655,0.020166666666666656,0.07200000000000001,0.46915,"{'Gustavo Petro': 0.024499999999999966, 'Federico Gutiérrez': 0.024499999999999966, 'Rodolfo Hernández': 0.008166666666666655, 'Sergio Fajardo': 0.024499999999999966, 'Enrique Gómez': 0.008166666666666655, 'John Milton Rodríguez': 0.008166666666666655, 'Blanco': 0.008166666666666655}",nan,29/3/2022,-61.0,Massive Caller,0.0,0.5,0.00015087788918506995
0.402875,0.282875,0.13787500000000003,0.09662500000000002,0.017625000000000005,0.021625000000000005,0.0405,0.46915,"{'Gustavo Petro': 0.03787500000000002, 'Federico Gutiérrez': 0.03787500000000002, 'Rodolfo Hernández': 0.03787500000000002, 'Sergio Fajardo': 0.012625000000000006, 'Enrique Gómez': 0.012625000000000006, 'John Milton Rodríguez': 0.012625000000000006, 'Blanco': 0.012625000000000006}",0.938,31/3/2022,-59.0,CNC,0.632,0.75,0.000441156088912762
0.378625,0.288625,0.10587500000000001,0.133625,0.028874999999999998,0.012874999999999998,0.051500000000000004,0.46915,"{'Gustavo Petro': 0.03862499999999999, 'Federico Gutiérrez': 0.03862499999999999, 'Rodolfo Hernández': 0.012874999999999998, 'Sergio Fajardo': 0.03862499999999999, 'Enrique Gómez': 0.012874999999999998, 'John Milton Rodríguez': 0.012874999999999998, 'Blanco': 0.012874999999999998}",0.9259999999999999,1/4/2022,-58.0,Guarumo & EcoAnalítica,0.546,0.5,0.0008888179809406617
0.36487499999999995,0.307875,0.11395833333333333,0.12887500000000002,0.006958333333333335,0.016958333333333336,0.0605,0.46915,"{'Gustavo Petro': 0.020875000000000005, 'Federico Gutiérrez': 0.020875000000000005, 'Rodolfo Hernández': 0.006958333333333335, 'Sergio Fajardo': 0.020875000000000005, 'Enrique Gómez': 0.006958333333333335, 'John Milton Rodríguez': 0.006958333333333335, 'Blanco': 0.006958333333333335}",nan,5/4/2022,-54.0,Massive Caller,0.0,0.5,0.0003323458230610455
0.3875,0.27749999999999997,0.16749999999999998,0.10583333333333332,0.015833333333333328,0.025833333333333326,0.02,0.46915,"{'Gustavo Petro': 0.04749999999999999, 'Federico Gutiérrez': 0.04749999999999999, 'Rodolfo Hernández': 0.04749999999999999, 'Sergio Fajardo': 0.015833333333333328, 'Enrique Gómez': 0.015833333333333328, 'John Milton Rodríguez': 0.015833333333333328, 'Blanco': 0.015833333333333328}",0.88,7/4/2022,-52.0,CNC,0.614,0.5,0.0008452098773940411
